Time resolution is 1 ps
Configuration completed                      0 ns
1. Accuracy: 100.000000, Detected number: 7, Expected: 0007
2. Accuracy: 100.000000, Detected number: 2, Expected: 0002
3. Accuracy: 100.000000, Detected number: 1, Expected: 0001
4. Accuracy: 100.000000, Detected number: 0, Expected: 0000
5. Accuracy: 100.000000, Detected number: 4, Expected: 0004
6. Accuracy: 100.000000, Detected number: 1, Expected: 0001
7. Accuracy: 100.000000, Detected number: 4, Expected: 0004
8. Accuracy: 100.000000, Detected number: 9, Expected: 0009
9. Accuracy: 100.000000, Detected number: 5, Expected: 0005
10. Accuracy: 100.000000, Detected number: 9, Expected: 0009
11. Accuracy: 100.000000, Detected number: 0, Expected: 0000
12. Accuracy: 100.000000, Detected number: 6, Expected: 0006
13. Accuracy: 100.000000, Detected number: 9, Expected: 0009
14. Accuracy: 100.000000, Detected number: 0, Expected: 0000
15. Accuracy: 100.000000, Detected number: 1, Expected: 0001
16. Accuracy: 100.000000, Detected number: 5, Expected: 0005
17. Accuracy: 100.000000, Detected number: 9, Expected: 0009
18. Accuracy: 100.000000, Detected number: 7, Expected: 0007
19. Accuracy: 100.000000, Detected number: 3, Expected: 0003
20. Accuracy: 100.000000, Detected number: 4, Expected: 0004
21. Accuracy: 100.000000, Detected number: 9, Expected: 0009
22. Accuracy: 100.000000, Detected number: 6, Expected: 0006
23. Accuracy: 100.000000, Detected number: 6, Expected: 0006
24. Accuracy: 100.000000, Detected number: 5, Expected: 0005
25. Accuracy: 100.000000, Detected number: 4, Expected: 0004
26. Accuracy: 100.000000, Detected number: 0, Expected: 0000
27. Accuracy: 100.000000, Detected number: 7, Expected: 0007
28. Accuracy: 100.000000, Detected number: 4, Expected: 0004
29. Accuracy: 100.000000, Detected number: 0, Expected: 0000
30. Accuracy: 100.000000, Detected number: 1, Expected: 0001
31. Accuracy: 100.000000, Detected number: 3, Expected: 0003
32. Accuracy: 100.000000, Detected number: 1, Expected: 0001
33. Accuracy: 100.000000, Detected number: 3, Expected: 0003
34. Accuracy: 97.058824, Detected number: 6, Expected: 0004
35. Accuracy: 97.142857, Detected number: 7, Expected: 0007
36. Accuracy: 97.222222, Detected number: 2, Expected: 0002
37. Accuracy: 97.297297, Detected number: 7, Expected: 0007
38. Accuracy: 97.368421, Detected number: 1, Expected: 0001
39. Accuracy: 97.435897, Detected number: 2, Expected: 0002
40. Accuracy: 97.500000, Detected number: 1, Expected: 0001
41. Accuracy: 97.560976, Detected number: 1, Expected: 0001
42. Accuracy: 97.619048, Detected number: 7, Expected: 0007
43. Accuracy: 97.674419, Detected number: 4, Expected: 0004
44. Accuracy: 97.727273, Detected number: 2, Expected: 0002
45. Accuracy: 97.777778, Detected number: 3, Expected: 0003
46. Accuracy: 97.826087, Detected number: 5, Expected: 0005
47. Accuracy: 97.872340, Detected number: 1, Expected: 0001
48. Accuracy: 97.916667, Detected number: 2, Expected: 0002
49. Accuracy: 97.959184, Detected number: 4, Expected: 0004
50. Accuracy: 98.000000, Detected number: 4, Expected: 0004
51. Accuracy: 98.039216, Detected number: 6, Expected: 0006
52. Accuracy: 98.076923, Detected number: 3, Expected: 0003
53. Accuracy: 98.113208, Detected number: 5, Expected: 0005
54. Accuracy: 98.148148, Detected number: 5, Expected: 0005
55. Accuracy: 98.181818, Detected number: 6, Expected: 0006
56. Accuracy: 98.214286, Detected number: 0, Expected: 0000
57. Accuracy: 98.245614, Detected number: 4, Expected: 0004
58. Accuracy: 98.275862, Detected number: 1, Expected: 0001
59. Accuracy: 98.305085, Detected number: 9, Expected: 0009
60. Accuracy: 98.333333, Detected number: 5, Expected: 0005
61. Accuracy: 98.360656, Detected number: 7, Expected: 0007
62. Accuracy: 98.387097, Detected number: 8, Expected: 0008
63. Accuracy: 98.412698, Detected number: 9, Expected: 0009
64. Accuracy: 98.437500, Detected number: 3, Expected: 0003
65. Accuracy: 98.461538, Detected number: 7, Expected: 0007
66. Accuracy: 98.484848, Detected number: 4, Expected: 0004
67. Accuracy: 98.507463, Detected numb
